Name,Mass (g) (not sexed),Source,Sex,Suborder,Handicap,Family,Genus,Species,Shi_match,r_humerus,Landmarked,l_humerus,Landmarked,r_radius,Landmarked,l_radius,Landmarked,r_tibia,Landmarked,l_tibia,Landmarked,r_femur,Landmarked,l_femur,Landmarked,Handwing,skull,Sternum,Landmarked,Verified,Pelvis,Landmarked,Verified,Sex,Lifestage,Notes,Author,kV,uA,um
Vampyressa_pusilla_AMNH_238219,9,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Vampyressa,pusilla,Vampyressa_pusilla,1,,1,,1,,1,,1,,,,broken,,broken,,,,,,,,,,,,,Andrew ,70,90,28.82444
Tylonycteris_pachypus_AMNH_236209,4.65,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Tylonycteris,pachypus,Tylonycteris_pachypus,,,1,Yes,,,1,Yes,1,Yes,,,,,1,Yes,Yes,,1,Yes,to do,open; landmarked; right,,,F,adult,Left tibia has missing slices,Andrew ,100,130,27.21108
Uroderma_bilobatum_AMNH_279429,17,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Uroderma,bilobatum,Uroderma_bilobatum,,,,,,,,,,,,,,,,,,,,,,,,,,,partial scan volumes,Andrew ,,,
Trinycteris_nicefori_AMNH_256822,8.2,https://eol.org/pages/327389/data,,,,Phyllostomidae,Micronycteris,nicefori,Micronycteris_nicefori,1,Yes,,,1,Yes,,,1,Yes,,,1,pathology,1,Yes,Yes,,,,,,,,M,adult,Left humerus has missing slices; pathological proturberence inferred on right proximal femur,Andrew ,80,120,28.97624
Thyroptera_tricolor_AMNH_246236,4.2,"Walker’s mammals of the world, VI",,,,Thyropteridae,Thyroptera,tricolor,,1,,,,1,,,,,,,,broken,,broken,,,,,,,,,,,,"Both femora broken, therefore segmentation is desisted",Andrew ,,,
Tadarida_brasiliensis_AMNH232245_REDO,12.5,"Walker’s mammals of the world, VI",,,,Molossidae,Tadarida,brasiliensis,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,Right hand wing acceptable. There is a plane of missing pixels. There legs rotated during scanning.,Andrew ,,,
Tadarida brasiliensis AMNH 232245,12.5,"Walker’s mammals of the world, VI",,,,Molossidae,Tadarida,brasiliensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing pixels + rotations,Andrew ,,,
Sturnira_lilium_AMNH_246333,19,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Sturnira,lilium,Sturnira_lilium,,,,,,,,,,,,,,,,,,,,,,,,,,,Only handwing,Andrew ,,,
Stenoderma_rufum_AMNH_208983,25,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Stenoderma,rufum,Stenoderma_rufum,,,1,Yes,broken,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,open,,,M,adult,,Andrew ,70,90,28.82444
Sphaeronycteris_toxophyllum_AMNH209739,14.8,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Sphaeronycteris,toxophyllum,Sphaeronycteris_toxophyllum,,,1,Yes,,,1,Yes,,,1,Yes,broken,,1,Yes,Yes,,1,Yes,Yes; No associated avizo project,"open; landmarked, right",,,M,adult,Clear stitching artifact crosses both wings; reserve for later decision; I have decided this is a change in brightness and does not compromise shape,Andrew ,140,130,27.86621
Anoura_geoffroyi_AMNH_268082,15.2,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Anoura,geoffroyi,Anoura_geoffroyi,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,,,,problem; won’t load,,,M,adult,"Missing slices, which do not cut humeri",Tram,?,?,27.8662
Antrozous_pallidus_AMNH_274878,22.5,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Antrozous,pallidus,Antrozous_pallidus,missing,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,Missing bones,Tram,?,?,?
Ardops_nichollsi_AMNH_238151,17,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Ardops,nichollsi,Ardops_nichollsi,1,,1,,,,1,,,,,,,,,,,,,,,,,,M,,Missing slices in humeri. Segmented anyway,Tram,,,
Saccopteryx_bilineata_AMNH_279444,7,"Walker’s mammals of the world, VI",,,very asymmetric sternum,Emballonuridae,Saccopteryx,bilineata,Saccopteryx_bilineata,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,,ambiguous,,,?,adult,sternum asymmetric ,Andrew ,150,170,29.50062
Rousettus_aegyptiacus_AMNH_237404,166.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Rousettus,aegyptiacus,Rousettus_aegyptiacus,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,1,1,Yes,Yes,fused; landmarked; right,,,M,adult,Missing slices across both wings. There is a slight shortening and displacement. Only segment right wing. Fused pevlis,Andrew ,150,170,40.11431
Rhinolophus_ferrumequinum_AMNH_245592,22.25,"Walker’s mammals of the world, VI",,,,Rhinolophidae,Rhinolophus,ferrumequinum,Rhinolophus_ferrumequinum,1,,broken,,broken,,1,,,,,,,,,,,,,,,fused; in progress; right,,,,,Possible juvenile. Unfused epiphyses. Very difficult to threshold; ossification may not be complete. ,Andrew ,,,
Rhynchonycteris_naso_AMNH_279521,3.2,"Walker’s mammals of the world, VI",,,,Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris_naso,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,to do,,,,?,adult,,Andrew ,140,170,29.50062
Rhogeessa_aeneus_AMNH_278643,6.5,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Rhogeessa,aeneus,Rhogeessa_aeneus,1,Yes,,,1,Yes,,,1,Yes,broken,,broken,,1,Yes,Yes,,,,,,,,?,adult,Ulna does not appear fused with radius. Very poorly ossified,Andrew ,150,170,29.50062
Rhinopoma_hardwickii_AMNH_217296,10,"Walker’s mammals of the world, VI",,,,Rhinopomatidae,Rhinopoma,hardwickii,Rhinopoma_hardwickii,,,,,,,,,,,,,,,,,,,,,,,,,M,,Empty folder,Andrew ,,,
Rhinolophus_hipposideros_AMNH_233075,7,"Walker’s mammals of the world, VI",,,,Rhinolophidae,Rhinolophus,hipposideros,Rhinolophus_hipposideros,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,,fused; landmarked; right,,,M,adult,Broken nose. Stitching artifact crosses both wings along their diaphyseal regions. Additional artifacts closer to articulations. Significant displacement on right wing. Fused pelvis,Andrew ,140,170,27.31716
Pteropus_neohibernicus_AMNH194433,992.185,https://eol.org/pages/327281/data,,,,Pteropodidae,Pteropus,neohibernicus,Pteropus_neohibernicus,1,,,,in progress,,,,,,broken,,,,broken,,,,,,,,,,M,subadult,Some slices have double images. I am investigating further. Possible juvenile; epiphyses appear weakly fused. Very difficult to segment well,Andrew ,,,
Pteronotus_mesoamericanus_AMNH_279552,20,"Walker’s mammals of the world, VI, assumed to be P.parnelli",,,,Mormoopidae,Pteronotus,parnellii,Pteronotus_parnellii,,,1,complete but femur broken,,,1,complete but femur broken,,,1,omit,broken,,broken,omit,complete but femur broken,,,,,,,,?,,,Andrew ,,,
Pteronotus_davyi_AMNH_279425,9.25,"Walker’s mammals of the world, VI",,,,Mormoopidae,Pteronotus,davyi,Pteronotus_davyi,1,,1,Yes,1,,1,Yes,,,1,Yes,truncated,,1,Yes,Yes,,1,Yes,to do,,,,?,adult,Missing pixels along diaphysis of left radius and tibia. Scan truncates part of distal epiphysis of right femur. Fused pevlis,Andrew ,130,170,29.86401
Artibeus_fraterculus_AMNH_68454,25.54,https://eol.org/pages/327356/data,,,,Phyllostomidae,Artibeus,fraterculus,Artibeus_fraterculus,1,,1,Yes,1,,1,Yes,,,1,Yes,1,,1,Yes,Yes,,,,,ambiguous; landmarked; right,,,M?,adult,,Tram,?,?,?
Platyrhinus_helleri_AMNH_277688,14,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Platyrrhinus,helleri,Platyrrhinus_helleri,1,,1,Yes,1,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,M,adult,Missing pixels cross thedistal  epiphysis of the right tibia; segmentation of right leg stopped,Andrew ,140,130,29.31606
Platyrhinus_aurarius_AMNH_265341,34,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Platyrrhinus,aurarius,Platyrrhinus_aurarius,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,,,,,,,M,adult,Missing pixels just before humeral epiphyses; I do not think they significantly affect the scan. Large sternal keel,Andrew ,140,130,29.31606
Phyllostomus_hastatus_AMNH_267434,96,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Phyllostomus,hastatus,Phyllostomus_hastatus,,,,,,,,,,,,,,,,,,,,,,,,,,,Hindlimb section only; do not segment,Andrew ,,,
Nycteris_macrotis_AMNH_276099,26.5,"Walker’s mammals of the world, VI",,,,Nycteridae,Nycteris,macrotis,Nycteris_macrotis,,,,,,,,,,,,,,,,,,,,,,,,,,,Double-image artifact evident in scan; evidence that specimen moved during process. Investigating further. Relatively large stitch artifact across humeral epiphyses.,Andrew ,,,
Noctilio_leporinus_AMNH_186968,70,"Walker’s mammals of the world, VI",,,,Noctilionidae,Noctilio,leporinus,Noctilio_leporinus,chipped,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,fused; landmarked; right,,,M,adult,Large file size; converted to 8bit; very strange pelvis in this male bat; looks like two pubis bones fuse to form a loop,Andrew,150,133,33.26048
Neoromicia_nanus_AMNH_276137,3.9,https://eol.org/pages/289881/data,,,,Vespertilionidae,Neoromicia,nanus,Neoromicia_nanus,,,,,,,,,,,,,,,,,,,,,,,,,,,Stitching artifact across both femora,Andrew ,,,
Natalus_tumidirostris_AMNH_275516,7,"Walker’s mammals of the world, VI",,,,Natalidae,Natalus,tumidirostris,Natalus_tumidirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,Bones rotates during scan,Andrew ,,,
Mystacina_tuberculata_AMNH265139,13.5,"Walker’s mammals of the world, VI",,,,Mystacinidae,Mystacina,tuberculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bones rotates during scan,Andrew ,,,
Myotis_vivesi_AMNH_180834,25,https://eol.org/pages/327628/data,,,,Vespertilionidae,Myotis,vivesi,Myotis_atacamensis,,,1,Yes,broken,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes; No associated avizo project,open; landmarked; right,,,F,adult,"Plane of missing pixels crosses radius, but not articular surface. Myotis atacamensis is a poor match",Andrew ,160,150,31.90485
Artibeus_intermedius_AMNH_68454,55.5,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Artibeus,intermedius,Artibeus_intermedius,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,,,,,,,?,adult,pelvis looks female,Tram,?,?,?
Molossus_rufus_AMNH_274122,20,"Walker’s mammals of the world, VI",,,,Molossidae,Molossus,rufus,Molossus_rufus,,,,,,,,,,,,,,,,,,,,,,,,,,,"Double images, but I think this may reflect movement of packing material only; pursuing further. Converting to 8-bit. Plane of missing pixels crosses wings across diaphysis.",Andrew,,,
Myotis_myotis_AMNH_244243,31.5,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Myotis,myotis,Myotis_myotis,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,,,,,,,?,adult,"Converted to 8-bit Plane of missing pixels crosses wings, but not across articular surfaces. ",Andrew,170,150,27.05654
Miniopterus_screibersii_AMNH_244270,2.5,"Walker’s mammals of the world, VI",,,note this was originally classed as a vesp,Vespertilionidae,Miniopterus,schreibersii,Miniopterus_schreibersii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,subadult,Juvenile; difficult to segment. 1 side only. ,Andrew,140,160,27.05654
Mimon_crenulatum_AMNH_267886,12,"Walker’s mammals of the world, VI",,,asymmetric sternum,Phyllostomidae,Mimon,crenulatum,Mimon_crenulatum,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,,ambiguous; landmarked; right,,,M,adult,"ears look strange, pelvis looks strange for male; sternum has unilateral oddity that does not intersect landmarks",Andrew,140,140,28.91314
Micronycteris_schmidtorum_AMNH_256821,7.5,https://eol.org/pages/327391/data,,,,Phyllostomidae,Micronycteris,schmidtorum,Micronycteris_schmidtorum,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; I moved the rib articulations,open; landmarked; right,,,F,adult,Missing pixels cross humeral head but do not substantially affect shape,Andrew,140,170,26.65524
Mesophylla_maconelli_AMNH_215025,7,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Mesophylla,macconnelli,Mesophylla_macconnelli,rotated,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes,,,,M,adult,Some bones have moved during scanning. ,Andrew,120,180,25.2564
Megaderma_spasma_AMNH_216807,25.5,"Walker’s mammals of the world, VI",,,,Megadermatidae,Megaderma,spasma,Megaderma_spasma,,,,,,,,,,,,,,,,,,,,,,,,,,,Prohibitively high motion during scanning; do not recommend segmentation,Andrew,,,
Macrotus_waterhousii_AMNH_238145,16,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Macrotus,waterhousii,Macrotus_waterhousii,,,1,Yes,,,1,Yes,1,Yes,,,1,Yes,rotated,,Yes,,1,Yes,Yes,,,,M,adult,Motion evident in scan but I will attempt segmentation. Results not of good quality.,Andrew,130,130,30.1301
Macrophyllum_macrophyllum_AMNH_235705,7.5,"Walker’s mammals of the world, VI",,,Left thumb; final phalanx before ungual is missing and ungual is vestigial,Phyllostomidae,Macrophyllum,macrophyllum,Macrophyllum_macrophyllum,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; replaced Sternum_Manubrium_Left_Lateral_Ridge,,,,M,adult,hyoid confluent with tympanum bone,Andrew,130,140,29.2004
Macroderma_gigas_AMNH_236543,150,"Walker’s mammals of the world, VI",,,,Megadermatidae,Macroderma,gigas,Macroderma_gigas,,,,,,,,,,,,,,,,,,,,,,,,,,,Bones moved during scanning. Also lots of high-density objects. Not useable. ,Andrew,,,
Lophostoma_evotis_AMNH_278626,20.6,https://eol.org/pages/327403/data,,,,Phyllostomidae,Lophostoma,evotis,Lophostoma_evotis,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,Yes,ambiguous; landmarked; right,,,M?,adult,Only right hand appendicular skeleton present. Femur and tibia have missing pixels,Andrew,150,170,30.22299
Lampronycteris_brachyotis_AMNH_274579,10.2,https://eol.org/pages/327384/data,,,,Phyllostomidae,Lampronycteris,brachyotis,Micronycteris_brachyotis,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes,,,,M,adult,Displacement duplicates pixels right elbow joint ; careful removal undertaken ; articulation of femur with tibia is messy,Andrew,120,180,27.35677
Kerivoula_hardwickii_AMNH_247565,4.5,https://eol.org/pages/1001185/data,,,,Vespertilionidae,Kerivoula,hardwickii,Kerivoula_hardwickii,broken,,1,Yes,,,1,Yes,1,Yes,,,1,Yes,broken,,Yes,,broken,,,,,,M,adult,,Andrew,150,133,29.56414
Hipposideros_pratti_AMNH_56957,84.4,https://eol.org/pages/328263/data,,,possible injury or deformity on fifth and fourth digit first metacarpal,Hipposideridae,Hipposideros,pratti,Hipposideros_pratti,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes,open; landmarked; right,,,M?,adult,Scan threshold is very difficult to work with; very opaque and no gaps. Elbow caps. Very broad sternum with extensive muscle attachment sites. Pelvic iliopubic eminence loops round to join cranial lateral ridge of ilium. Landmarked placed on medially facing prominence of closure. ,Andrew,140,180,38.53539
Hesperoptenus_gaskelli_AMNH_226393,9.4,https://eol.org/pages/1001182/data,,,,Vespertilionidae,Hesperoptenus,gaskelli,Hesperoptenus_blanfordi,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes,,,,M,adult,,Andrew,100,130,27.21108
Glossophaga_soricina_AMNH_278707,10.5,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Glossophaga,soricina,,,,,,,,,,,,,,,,,,,,,,,,,,,,A plane of stitching crosses both humeral proximal articulations. Investigating. It is a duplication; I can remove it. It will slightly lengthen the radius bones though. I found another plane of stitching at the distal end of the humerus. At this point I believe it is best to re-scan this specimen.,Andrew,,,
Glischropus_tylopus_AMNH_247438,4,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Glischropus,tylopus,Glischropus_tylopus,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes,open; landmarked; right,,,F,adult,Stitching artifacts cross diaphyses of radius bones,Andrew,80,120,28.17305
Furipterus_horrens_AMNH_48309,3,"Walker’s mammals of the world, VI",,,,Furipteridae,Furipterus,horrens,Furipterus_horrens,,,,,,,,,,,,,,,,,,,,,,,,,,,Motion artifact,Andrew,,,
Eptesicus_serotinus_AMNH_233146,13,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Eptesicus,serotinus,Eptesicus_serotinus,,,,,,,,,,,,,,,,,,,,,,,,,,,Strange metal blobs on wings,Andrew,,,
Eptesicus_fuscus_AMNH_267809,22,"Walker’s mammals of the world, VI",,,,Vespertilionidae,Eptesicus,fuscus,Eptesicus_fuscus,1,Yes,1,,1,Yes,do not use,,1,Yes,,,1,Yes,,,Yes,,broken,,,,,,M,subadult,Stitching artifact crosses diaphysis of right femur. Stitching displacement evident on diaphysis of left radius. Discontinued; artifact too large.,Andrew,160,160,27.05654
Enchisthenes_hartii_AMNH_268087,17.3,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Enchisthenes,hartii,Artibeus_hartii,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,Yes,,,,M,adult,No skull. Left tibia crossed by stitching artifact; not useable. Large lateral sesamoid on knee,Andrew,150,140,27.86621
Desmodus_rotundus_AMNH_278308,32.5,"Walker’s mammals of the world, VI",,,"(bifid third digit, wing)",Phyllostomidae,Desmodus,rotundus,Desmodus_rotundus,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; 2 landmarks moved,,,,M,adult,"elbow caps, this bat has a bifid third digit",Andrew,160,150,31.90485
Cynopterus_brachyotis_AMNH_233949,62.5,"Walker’s mammals of the world, VI",,,,Pteropodidae,Cynopterus,brachyotis,Cynopterus_brachyotis,,,1,Yes,,,1,Yes,broken,,1,Yes,,,1,Yes,Yes,,1,Yes,Yes; I replaced the left xiphoid curve,to do,,,M,adult,elbow caps; right femur crossed by stitching artifact. Right tibia broken. ,Andrew,130,170,31.84329
Chrotopterus_auritus_AMNH_278292,81.6,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Chrotopterus,auritus,Chrotopterus_auritus,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan appears to be cropped; volume rendering omits key parts of skeleton,Andrew,,,
Chiroderma_trinitatum_AMNH_209519,14,"Walker’s mammals of the world, VI",,,possible warping of second phalanx fifth digit,Phyllostomidae,Chiroderma,trinitatum,Chiroderma_trinitatum,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,,,,,,,M,adult,Right side only suitable for scanning; left femur crossed by stitching artifact. Very large head- unusual,Andrew,140,140,29.31606
Centurio_senex_AMNH_179990,22.5,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Centurio,senex,Centurio_senex,broken,,1,Yes,,,1,Yes,1,Yes,broken,,1,Yes,,,Yes,,1,Yes,Yes; No associated avizo project,,,,M,adult,"Stitching artifact left radius, assessed as minimal ",Andrew,140,140,29.31606
Centronycteris_maximiliani_AMNH_267397,23,https://eol.org/pages/327843/data,,,,Emballonuridae,Centronycteris,maximiliani,Centronycteris_maximiliani,14455,,,,,,broken,,,,,,,,,,,,,,,,,,,,Too much motion distortion at joints. I am unable to tell one bone from another.,Andrew,,,
Carollia_sowelli_AMNH_278922,15,Guess,,,,Phyllostomidae,Carollia,sowelli,Carollia_sowelli,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; No associated avizo project,,,,?,adult,,Andrew,140,140,28.91314
Carollia_perspicillata_AMNH_278752,15,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Carollia,perspicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threshold too high to segment,Andrew,,,
Carollia_perspicillata_AMNH_278640,15,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Carollia,perspicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threshold too high to segment,Andrew,,,
Carollia_perspicillata_AMNH_277693,15,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Carollia,perspicillata,Carollia_perspicillata,1,,1,Yes,1,,1,Yes,1,Yes,1,,1,,1,Yes,Yes,,1,Yes,Yes; No associated avizo project,,,,M,adult,Contrast manually adjusted in Image J,Andrew,130,180,28.22101
Artibeus_phaeotis_AMNH_278943,11.6,https://eol.org/pages/327361/data,,,,Phyllostomidae,Artibeus,phaeotis,Artibeus_phaeotis,,,,,,,,,,,,,,,,,,,,,,,,,,,"I tried to adjust this threshold, but even after that this scan is not readily workable. ",Andrew,,,
Artibeus_phaeotis_AMNH_278391,11.6,https://eol.org/pages/327361/data,,,,Phyllostomidae,Artibeus,phaeotis,Artibeus_phaeotis,,,,,,,,,,,,,,,,,,,,,,,,,,,Unworkable threshold. ,Andrew,,,
Artibeus_jamaicensis_AMNH_279493,42.2,https://eol.org/pages/327863/data,,,,Phyllostomidae,Artibeus,jamaicensis,Artibeus_jamaicensis,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,broken,,,,,,?,adult,I have to use the maximum threshold. Minor stitching artifacts,Andrew,140,140,27.42521
Natalus_stramineus_AMNH_274125,7,"Walker’s mammals of the world, VI",,,,Natalidae,Natalus,stramineus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing pixels render both femur bones unuseable. ,Andrew,,,
Myzopoda_schliemanni_AMNH_277725,,,,,,Myzopodidae,Myzopoda,schliemanni,Myzopoda_schliemanni,,,,,,,,,,,,,,,,,,,,,,,,,,,No humerus bones. Significant stitching artifact crosses both radius bones. Bones rotated during scan. ,Andrew,,,
Erophylla_bombifrons_AMNH_275483,16.3,https://eol.org/pages/11019834/data,,,"(bent final phalanx, second digit, right hand; healed break?) Major assymetry between first metacarpal of third digit; right side is distorted",Phyllostomidae,Erophylla,bombifrons,Erophylla_bombifrons,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,,,Yes,,1,Yes,Yes; I moved some landmarks by a small amount,,,,M,adult,Stitching artifact crosses both radius bones and the left humerus. I have not assessed it as critically limiting. Some double-imaging of right radius. I have attempted to compensate. Stitching artifacts and rotations on left hand side too large to compensate for. ,Andrew,130,130,30.1301
Hesperoptenus_blanfordi_AMNH_234188,,,,,,Vespertilionidae,Hesperoptenus,blanfordi,Hesperoptenus_blanfordi,,,,,broken,,,,,,,,,,,,,,,,,,,,,,Elbow caps. Distinctive sesamoids on knees. Stitching artifact crosses the left radius.,Andrew,,,
Leptonycteris_yerbabuenae_AMNH_249086,24,"Walker’s mammals of the world, VI",,,,Phyllostomidae,Leptonycteris,yerbabuenae,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stitching artifact crosses both wings. Displacement is probably considerable enough to preclude segmentation. ,Andrew,,,
Mimon_cozumelae_AMNH_279490,39.5,https://eol.org/pages/4438808/data,,,,Phyllostomidae,Mimon,cozumelae,Mimon_cozumelae,1,,1,Yes,1,,1,Yes,1,,1,Yes,1,,1,Yes,Yes,,1,Yes,Yes; I replaced the left and right Xiphoid curves,,,,?,adult,,Andrew,140,140,29.46034
Mormoops_blainvillii_CUMV_20843,15,"Walker’s mammals of the world, VI",,,,Mormoopidae,Mormoops,blainvillii,Mormoops_blainvillii,,,1,Yes,,,1,Yes,,,1,Yes,,,1,Yes,Yes,,,,,,,,?,adult,,Andrew,85,200,20.038
